model_id,split,unit_type,unit_id,score_name,score,label
M39,test,cycle,101_1b1_Al_sc_Meditron__0,crackle_score,0.7846225998,0
M39,test,cycle,101_1b1_Al_sc_Meditron__1,crackle_score,0.9008551577,0
M39,test,cycle,101_1b1_Al_sc_Meditron__2,crackle_score,0.7425502426,0
M39,test,cycle,101_1b1_Al_sc_Meditron__3,crackle_score,0.8684210526,0
M39,test,cycle,101_1b1_Al_sc_Meditron__4,crackle_score,0.9050925926,0
M39,test,cycle,101_1b1_Al_sc_Meditron__5,crackle_score,0.8128555176,0
M39,test,cycle,101_1b1_Al_sc_Meditron__6,crackle_score,0.9008551577,0
M39,test,cycle,101_1b1_Al_sc_Meditron__7,crackle_score,0.9772004242,0
M39,test,cycle,101_1b1_Al_sc_Meditron__8,crackle_score,0.8438161239,0
M39,test,cycle,101_1b1_Al_sc_Meditron__9,crackle_score,0.883450772,0
M39,test,cycle,101_1b1_Al_sc_Meditron__10,crackle_score,0.8961028674,0
M39,test,cycle,101_1b1_Al_sc_Meditron__11,crackle_score,0.7872905786,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__0,crackle_score,0.3150865658,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__1,crackle_score,0.291834854,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__2,crackle_score,0.4550911927,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__3,crackle_score,0.4482157259,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__4,crackle_score,0.3172971224,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__5,crackle_score,0.3099289348,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__6,crackle_score,0.3951104491,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__7,crackle_score,0.2880669799,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__8,crackle_score,0.2649820133,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__9,crackle_score,0.5342352151,0
M39,test,cycle,101_1b1_Pr_sc_Meditron__10,crackle_score,0.1974724857,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__0,crackle_score,0.7212489731,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__1,crackle_score,0.4371561845,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__2,crackle_score,0.446108479,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__3,crackle_score,0.5586283806,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__4,crackle_score,0.4161891459,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__5,crackle_score,0.4546963633,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__6,crackle_score,0.4818954357,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__7,crackle_score,0.5535963046,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__8,crackle_score,0.8980412764,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__9,crackle_score,0.4922934353,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__10,crackle_score,0.4719546389,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__11,crackle_score,0.4166762214,0
M39,test,cycle,102_1b1_Ar_sc_Meditron__12,crackle_score,0.1896493051,0
M39,test,cycle,104_1b1_Al_sc_Litt3200__0,crackle_score,0.686461559,0
M39,test,cycle,104_1b1_Al_sc_Litt3200__1,crackle_score,0.6065423672,0
M39,test,cycle,104_1b1_Al_sc_Litt3200__2,crackle_score,0.6700092974,0
M39,test,cycle,104_1b1_Al_sc_Litt3200__3,crackle_score,0.5933216681,0
M39,test,cycle,104_1b1_Al_sc_Litt3200__4,crackle_score,0.5726992242,0
M39,test,cycle,104_1b1_Al_sc_Litt3200__5,crackle_score,0.6852995676,0
M39,test,cycle,104_1b1_Ar_sc_Litt3200__0,crackle_score,0.5660207971,0
M39,test,cycle,104_1b1_Ar_sc_Litt3200__1,crackle_score,0.6860994081,0
M39,test,cycle,104_1b1_Ar_sc_Litt3200__2,crackle_score,0.6398112548,0
M39,test,cycle,104_1b1_Ar_sc_Litt3200__3,crackle_score,0.7608257506,0
M39,test,cycle,104_1b1_Ar_sc_Litt3200__4,crackle_score,0.8632589517,0
M39,test,cycle,104_1b1_Ar_sc_Litt3200__5,crackle_score,0.59798718,0
M39,test,cycle,104_1b1_Ar_sc_Litt3200__6,crackle_score,0.7653301887,0
M39,test,cycle,104_1b1_Ar_sc_Litt3200__7,crackle_score,0.7736318408,0
M39,test,cycle,104_1b1_Ar_sc_Litt3200__8,crackle_score,0.639275766,0
M39,test,cycle,104_1b1_Ar_sc_Litt3200__9,crackle_score,0.619379228,0
M39,test,cycle,104_1b1_Ar_sc_Litt3200__10,crackle_score,0.4000750465,0
M39,test,cycle,104_1b1_Ar_sc_Litt3200__11,crackle_score,0.4983682006,0
M39,test,cycle,104_1b1_Ar_sc_Litt3200__12,crackle_score,0.6424901468,0
M39,test,cycle,104_1b1_Ar_sc_Litt3200__13,crackle_score,0.5276827431,0
M39,test,cycle,104_1b1_Ll_sc_Litt3200__0,crackle_score,0.6344176356,0
M39,test,cycle,104_1b1_Ll_sc_Litt3200__1,crackle_score,0.5793755788,0
M39,test,cycle,104_1b1_Ll_sc_Litt3200__2,crackle_score,0.6246411285,0
M39,test,cycle,104_1b1_Ll_sc_Litt3200__3,crackle_score,0.5706817847,0
M39,test,cycle,104_1b1_Ll_sc_Litt3200__4,crackle_score,0.4781513517,1
M39,test,cycle,104_1b1_Ll_sc_Litt3200__5,crackle_score,0.5860215054,0
M39,test,cycle,104_1b1_Ll_sc_Litt3200__6,crackle_score,0.2807385825,0
M39,test,cycle,104_1b1_Lr_sc_Litt3200__0,crackle_score,0.6349961422,0
M39,test,cycle,104_1b1_Lr_sc_Litt3200__1,crackle_score,0.5316480734,0
M39,test,cycle,104_1b1_Lr_sc_Litt3200__2,crackle_score,0.4836234437,0
M39,test,cycle,104_1b1_Lr_sc_Litt3200__3,crackle_score,0.624300808,0
M39,test,cycle,104_1b1_Lr_sc_Litt3200__4,crackle_score,0.5726531518,0
M39,test,cycle,104_1b1_Pl_sc_Litt3200__0,crackle_score,0.8750586029,0
M39,test,cycle,104_1b1_Pl_sc_Litt3200__1,crackle_score,0.70561148,0
M39,test,cycle,104_1b1_Pl_sc_Litt3200__2,crackle_score,0.8150403645,0
M39,test,cycle,104_1b1_Pl_sc_Litt3200__3,crackle_score,0.7030302261,0
M39,test,cycle,104_1b1_Pl_sc_Litt3200__4,crackle_score,0.6577943851,0
M39,test,cycle,104_1b1_Pl_sc_Litt3200__5,crackle_score,0.4046053016,0
M39,test,cycle,104_1b1_Pl_sc_Litt3200__6,crackle_score,0.6329787234,0
M39,test,cycle,104_1b1_Pl_sc_Litt3200__7,crackle_score,0.713698637,0
M39,test,cycle,104_1b1_Pl_sc_Litt3200__8,crackle_score,0.5875855105,0
M39,test,cycle,104_1b1_Pl_sc_Litt3200__9,crackle_score,0.3416611365,0
M39,test,cycle,104_1b1_Pl_sc_Litt3200__10,crackle_score,0.6454092231,0
M39,test,cycle,104_1b1_Pl_sc_Litt3200__11,crackle_score,0.4419591346,0
M39,test,cycle,104_1b1_Pl_sc_Litt3200__12,crackle_score,0.331869366,0
M39,test,cycle,104_1b1_Pr_sc_Litt3200__0,crackle_score,0.5964184561,0
M39,test,cycle,104_1b1_Pr_sc_Litt3200__1,crackle_score,0.7691213799,0
M39,test,cycle,104_1b1_Pr_sc_Litt3200__2,crackle_score,0.6270580761,0
M39,test,cycle,104_1b1_Pr_sc_Litt3200__3,crackle_score,0.6336898396,0
M39,test,cycle,104_1b1_Pr_sc_Litt3200__4,crackle_score,0.6370488808,0
M39,test,cycle,104_1b1_Pr_sc_Litt3200__5,crackle_score,0.3346260092,0
M39,test,cycle,104_1b1_Pr_sc_Litt3200__6,crackle_score,0.4837006772,0
M39,test,cycle,104_1b1_Pr_sc_Litt3200__7,crackle_score,0.2616353846,0
M39,test,cycle,104_1b1_Pr_sc_Litt3200__8,crackle_score,0.4275395552,0
M39,test,cycle,104_1b1_Pr_sc_Litt3200__9,crackle_score,0.4268433955,0
M39,test,cycle,109_1b1_Al_sc_Litt3200__0,crackle_score,0.6288244767,0
M39,test,cycle,109_1b1_Al_sc_Litt3200__1,crackle_score,0.528334632,0
M39,test,cycle,109_1b1_Al_sc_Litt3200__2,crackle_score,0.5617141094,0
M39,test,cycle,109_1b1_Al_sc_Litt3200__3,crackle_score,0.5791217486,0
M39,test,cycle,109_1b1_Al_sc_Litt3200__4,crackle_score,0.6051282894,0
M39,test,cycle,109_1b1_Al_sc_Litt3200__5,crackle_score,0.5808189655,0
M39,test,cycle,109_1b1_Al_sc_Litt3200__6,crackle_score,0.6112347052,0
M39,test,cycle,109_1b1_Al_sc_Litt3200__7,crackle_score,0.5132802125,0
M39,test,cycle,109_1b1_Al_sc_Litt3200__8,crackle_score,0.4618420439,0
M39,test,cycle,109_1b1_Ar_sc_Litt3200__0,crackle_score,0.7816405562,0
M39,test,cycle,109_1b1_Ar_sc_Litt3200__1,crackle_score,0.5989670316,0
M39,test,cycle,109_1b1_Ar_sc_Litt3200__2,crackle_score,0.6159462299,0
M39,test,cycle,109_1b1_Ar_sc_Litt3200__3,crackle_score,0.5866394715,0
M39,test,cycle,109_1b1_Ar_sc_Litt3200__4,crackle_score,0.5872854233,0
M39,test,cycle,109_1b1_Ar_sc_Litt3200__5,crackle_score,0.5869565217,0
M39,test,cycle,109_1b1_Ar_sc_Litt3200__6,crackle_score,0.5809498111,0
M39,test,cycle,109_1b1_Ar_sc_Litt3200__7,crackle_score,0.6694915254,0
M39,test,cycle,109_1b1_Ar_sc_Litt3200__8,crackle_score,0.4317157699,0
M39,test,cycle,109_1b1_Ar_sc_Litt3200__9,crackle_score,0.3653208169,0
M39,test,cycle,109_1b1_Ll_sc_Litt3200__0,crackle_score,0.6281229981,0
M39,test,cycle,109_1b1_Ll_sc_Litt3200__1,crackle_score,0.7858572143,1
M39,test,cycle,109_1b1_Ll_sc_Litt3200__2,crackle_score,0.7032889244,1
M39,test,cycle,109_1b1_Ll_sc_Litt3200__3,crackle_score,0.6905799074,1
M39,test,cycle,109_1b1_Ll_sc_Litt3200__4,crackle_score,0.5251319427,1
M39,test,cycle,109_1b1_Ll_sc_Litt3200__5,crackle_score,0.5770836679,1
M39,test,cycle,109_1b1_Ll_sc_Litt3200__6,crackle_score,0.4150159384,1
M39,test,cycle,109_1b1_Ll_sc_Litt3200__7,crackle_score,0.4802342667,1
M39,test,cycle,109_1b1_Lr_sc_Litt3200__0,crackle_score,0.7420011635,1
M39,test,cycle,109_1b1_Lr_sc_Litt3200__1,crackle_score,0.6219660934,1
M39,test,cycle,109_1b1_Lr_sc_Litt3200__2,crackle_score,0.6038556407,1
M39,test,cycle,109_1b1_Lr_sc_Litt3200__3,crackle_score,0.6436781609,1
M39,test,cycle,109_1b1_Lr_sc_Litt3200__4,crackle_score,0.5840218457,1
M39,test,cycle,109_1b1_Lr_sc_Litt3200__5,crackle_score,0.4277890473,1
M39,test,cycle,109_1b1_Lr_sc_Litt3200__6,crackle_score,0.6327329787,1
M39,test,cycle,109_1b1_Lr_sc_Litt3200__7,crackle_score,0.6038585335,1
M39,test,cycle,109_1b1_Pl_sc_Litt3200__0,crackle_score,0.6081665765,0
M39,test,cycle,109_1b1_Pl_sc_Litt3200__1,crackle_score,0.5823384109,0
M39,test,cycle,109_1b1_Pl_sc_Litt3200__2,crackle_score,0.545039973,0
M39,test,cycle,109_1b1_Pl_sc_Litt3200__3,crackle_score,0.5869588848,0
M39,test,cycle,109_1b1_Pl_sc_Litt3200__4,crackle_score,0.5380255246,0
M39,test,cycle,109_1b1_Pl_sc_Litt3200__5,crackle_score,0.5538793103,0
M39,test,cycle,109_1b1_Pl_sc_Litt3200__6,crackle_score,0.5828271673,0
M39,test,cycle,109_1b1_Pl_sc_Litt3200__7,crackle_score,0.5620732464,0
M39,test,cycle,109_1b1_Pl_sc_Litt3200__8,crackle_score,0.5,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__0,crackle_score,0.6504890895,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__1,crackle_score,0.5555555556,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__2,crackle_score,0.5786807855,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__3,crackle_score,0.5765428161,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__4,crackle_score,0.5529906604,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__5,crackle_score,0.5706214689,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__6,crackle_score,0.5653879686,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__7,crackle_score,0.5799147576,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__8,crackle_score,0.5592943967,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__9,crackle_score,0.6047486034,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__10,crackle_score,0.6350438893,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__11,crackle_score,0.6542257866,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__12,crackle_score,0.5686813187,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__13,crackle_score,0.6781472684,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__14,crackle_score,0.6430615165,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__15,crackle_score,0.7371273713,0
M39,test,cycle,109_1b1_Pr_sc_Litt3200__16,crackle_score,0.5405186386,0
M39,test,cycle,113_1b1_Al_sc_Litt3200__0,crackle_score,0.5369225089,0
M39,test,cycle,113_1b1_Al_sc_Litt3200__1,crackle_score,0.5556754123,0
M39,test,cycle,113_1b1_Al_sc_Litt3200__2,crackle_score,0.5336516216,0
M39,test,cycle,113_1b1_Al_sc_Litt3200__3,crackle_score,0.5814871403,0
M39,test,cycle,113_1b1_Al_sc_Litt3200__4,crackle_score,0.5402799456,0
M39,test,cycle,113_1b1_Al_sc_Litt3200__5,crackle_score,0.605286247,0
M39,test,cycle,113_1b1_Al_sc_Litt3200__6,crackle_score,0.7166103703,0
M39,test,cycle,113_1b1_Ar_sc_Litt3200__0,crackle_score,0.6216606681,0
M39,test,cycle,113_1b1_Ar_sc_Litt3200__1,crackle_score,0.5343391853,0
M39,test,cycle,113_1b1_Ar_sc_Litt3200__2,crackle_score,0.4817054832,0
M39,test,cycle,113_1b1_Ar_sc_Litt3200__3,crackle_score,0.6067283319,0
M39,test,cycle,113_1b1_Ar_sc_Litt3200__4,crackle_score,0.5743805495,0
M39,test,cycle,113_1b1_Ar_sc_Litt3200__5,crackle_score,0.5564732458,0
M39,test,cycle,113_1b1_Ar_sc_Litt3200__6,crackle_score,0.6687692502,0
M39,test,cycle,113_1b1_Ar_sc_Litt3200__7,crackle_score,0.3177941269,0
M39,test,cycle,113_1b1_Ll_sc_Litt3200__0,crackle_score,0.6109672647,0
M39,test,cycle,113_1b1_Ll_sc_Litt3200__1,crackle_score,0.5359147026,0
M39,test,cycle,113_1b1_Ll_sc_Litt3200__2,crackle_score,0.5368086869,0
M39,test,cycle,113_1b1_Ll_sc_Litt3200__3,crackle_score,0.5529153024,0
M39,test,cycle,113_1b1_Ll_sc_Litt3200__4,crackle_score,0.6457725948,0
M39,test,cycle,113_1b1_Ll_sc_Litt3200__5,crackle_score,0.5371747212,0
M39,test,cycle,113_1b1_Ll_sc_Litt3200__6,crackle_score,0.524532352,0
M39,test,cycle,113_1b1_Ll_sc_Litt3200__7,crackle_score,0.6568100358,0
M39,test,cycle,113_1b1_Ll_sc_Litt3200__8,crackle_score,0.3493718672,0
M39,test,cycle,113_1b1_Ll_sc_Litt3200__9,crackle_score,0.5578703704,0
M39,test,cycle,113_1b1_Ll_sc_Litt3200__10,crackle_score,0.40552964,0
M39,test,cycle,113_1b1_Lr_sc_Litt3200__0,crackle_score,0.660712492,0
M39,test,cycle,113_1b1_Lr_sc_Litt3200__1,crackle_score,0.4504571315,0
